Case,HIThr,VIThr,dice,dicectv,sensitivity,sensitivityctv,specificity,specificityctv
BraTS20_Training_061,95,88,0.8126006072090796,0.6509187471536971,0.9551638244874497,0.6442814387749481,0.9990725401375349,0.9782154431928926
BraTS20_Training_062,95,88,0.9279598851105157,0.9543670757076258,0.9478794360172235,0.9161540981926429,0.9984623033262052,0.9997072677628412
BraTS20_Training_063,95,88,0.8413820180604633,0.9294532703530983,0.9553458652202987,0.9734972964066924,0.9995235873613684,0.995289372988829
BraTS20_Training_064,95,88,0.8464355622908379,0.8789498042224617,0.8394301518551375,0.8542584641061531,0.9984376459505774,0.9926651806693677
BraTS20_Training_066,95,88,0.9283617243609945,0.9277169145779287,0.9447051277723391,0.8714907909792198,0.9993954054876254,0.999528626996449
BraTS20_Training_067,95,88,0.9388184765674344,0.9067714336644942,0.9396421593042412,0.9334317839544982,0.9990786013518621,0.9895991906910058
BraTS20_Training_068,95,88,0.8551490831369385,0.8111434863302849,0.9565540936366947,0.9706910327185925,0.9980007537642243,0.9690953615998227
BraTS20_Training_069,95,88,0.8317526839290816,0.9818778924700011,0.764052246734579,0.9646190738515094,0.9986649163605341,0.9999638917005593
BraTS20_Training_071,95,88,0.9044570137911894,0.9181716042038145,0.9188288749602992,0.8488633010795803,0.9980138415616362,0.9999866942378187
BraTS20_Training_072,95,88,0.7125320720198122,0.9274087369114012,0.8951888685824485,0.9453956677397605,0.9937689582908833,0.9928873305817061
BraTS20_Training_073,95,88,0.8886258119640522,0.9463608736311878,0.9694961701745323,0.9846970611401508,0.9989349895609615,0.9955880099763804
BraTS20_Training_074,95,88,0.814912131999774,0.9074772909836165,0.751227389339619,0.8453511294377227,0.9991977368972449,0.9985766806493909
BraTS20_Training_075,95,88,0.9457680773075642,0.9730379605031527,0.9198323403749655,0.9638574112188794,0.9994637912088981,0.9983998337540475
BraTS20_Training_076,95,88,0.8618073447870535,0.8706483968545405,0.8599184911382808,0.7893460457526216,0.9993554882421338,0.9988879261152506
BraTS20_Training_077,95,88,0.7580413194840772,0.8111626544365599,0.9925472769663033,0.9891568235279319,0.9964605037477119,0.979045696537665
BraTS20_Training_078,95,88,0.7251180286339385,0.8305907459062968,0.9586917358097993,0.9664774562912762,0.9969603724505656,0.9771253126037744
BraTS20_Training_080,95,88,0.8726007149371547,0.9564114954944711,0.9575740842996503,0.9923433573611128,0.9988396692860494,0.9958737962544324
BraTS20_Training_081,95,88,0.9253776896078132,0.9744783604730357,0.9615628567804135,0.9606770769751276,0.9995865775046906,0.9996351242180427
BraTS20_Training_082,95,88,0.7509046745650126,0.7602208555075125,0.7498267498267498,0.6509869291298027,0.9997198891801757,0.9969029041390719
BraTS20_Training_083,95,88,0.8691058408257617,0.9681506782905471,0.9927910070868066,0.9879201561899306,0.9975722645454626,0.9966559744224497
BraTS20_Training_084,95,88,0.9095070306582804,0.9167610125550095,0.967814279456855,0.9304119132223677,0.9989679768457066,0.9949994353100619
BraTS20_Training_085,95,88,0.8999628114540722,0.9861331800876374,0.9687750200160128,0.9887241330632964,0.999249868895752,0.9993313045609388
BraTS20_Training_086,95,88,0.7946135415742301,0.9510337468916161,0.8630011565150347,0.9281481739676011,0.9992798000010777,0.9993740289976899
BraTS20_Training_088,95,88,0.7730179880079947,0.8592837220538498,0.7570300776407647,0.8039889552430489,0.9993054108494825,0.9969309055561899
BraTS20_Training_089,95,88,0.5706351017395991,0.7127635334468616,0.45085658608440804,0.615092691579674,0.9980838079956971,0.9865473977957808
BraTS20_Training_090,95,88,0.8675158156348848,0.8503026056172659,0.9581396799650644,0.9014603897546577,0.9990962170275185,0.9869022475132623
BraTS20_Training_091,95,88,0.898849442313782,0.9179812939577218,0.8538510902843697,0.8606272661892926,0.9992156890442296,0.9984509534116299
BraTS20_Training_092,95,88,0.9056379917109577,0.9674370110810746,0.9662663792808512,0.9838410211325339,0.9988952078923579,0.9961309728144884
BraTS20_Training_093,95,88,0.9379042000417239,0.9466852252809568,0.9794204073361029,0.9525731270197789,0.9987804256504755,0.9958533625992062
BraTS20_Training_094,95,88,0.796564955234789,0.7314769379894704,0.9940261753841945,0.7529224906676115,0.9987645506082312,0.9885714730572626
BraTS20_Training_095,95,88,0.9448847312245833,0.9690972417446165,0.984089507362578,0.9646526534074842,0.9988370659338965,0.9978455633054286
